name,date,actors,location,location_details,price,lowPrice,highPrice,categoryName
开心麻花发颠爆笑新戏《谢同学不杀之恩》,2024.07.25-08.04,,上海,FANCL艺术中心 艺海剧院小剧场,99-599,99.0,599.0,话剧歌剧
2024夏季篮球对抗赛(锦州站)辽宁本钢VS上海久事,2024.07.26 周五 19:30,,锦州,锦州滨海体育中心,80-580,80.0,580.0,体育
X的收藏202:一个男人的肖像,2024.06.29-10.20,,北京,X美术馆,1-80,1.0,80.0,展览休闲
话剧《雷雨》,2024.07.16-07.28,,北京,首都剧场,80-680,80.0,680.0,话剧歌剧
青岛·何广智脱口秀专场《给我个面子》0720,2024.07.20 周六,艺人：何广智,青岛,青岛凤凰之声大剧院(西海岸新区),220-580,220.0,580.0,曲苑杂坛
2024银川西夏啤酒·星空音乐节,2024.07.20-07.21,艺人：许巍、赵雷、陈楚生、房东的猫、帆布小镇乐队、旅行新蜜蜂乐队、旅行团乐队、麻园诗人、霓虹花园、苏醒、王栎鑫、王铮亮、夏日入侵企画、张远、陆虎,银川,宁夏贺兰工业园区西夏啤酒音乐公园(新胜西路12号),297-977,297.0,977.0,演唱会
英文原版音乐剧《剧院魅影》,2024.12.03-12.15,,北京,天桥艺术中心-大剧场,280-1280,280.0,1280.0,话剧歌剧
2024张韶涵世界巡回演唱会-遵义站,2024.07.05 周五 19:30,艺人：张韶涵,遵义,遵义市奥林匹克体育中心体育场,380-1280,380.0,1280.0,演唱会
小沈阳 2024《我不！是歌手》演唱会--北京站,2024.10.19 周六 19:30,艺人：小沈阳,北京,华熙LIVE·五棵松·场馆,380-1280,380.0,1280.0,演唱会
2024光良「今晚我不孤独2.0」巡回演唱会-天津站,2024.07.20 周六 19:30,艺人：光良,天津,天津奥林匹克中心体育馆,399-1314,399.0,1314.0,演唱会
济南泉之声超级巨星演唱会（女巨星版）,2024.07.20 周六 19:30,艺人：陈慧琳、杨丞琳、于文文、温岚、吴莫愁、李翊君,济南,济南奥体中心体育场,280-1080,280.0,1080.0,演唱会
何广智脱口秀专场《给我个面子》郑州站 0719,2024.07.19 周五 19:30,艺人：何广智,郑州,河南省人民会堂,220-580,220.0,580.0,曲苑杂坛
